depo_kod;urun_kod;stok
9001;1020731;60
9001;1020732;153
9001;1020734;293
9001;1020798;5
9001;1020817;27
9001;1020848;159
9001;1020893;143
9001;1020910;298
9001;1020951;1435
9001;1020978;333
9001;1020979;1104
9001;1020980;1922
9001;1020981;2400
9001;1020982;272
9001;1020994;165
9001;1020995;165
9001;1021003;625
9001;1021025;271
9001;1021027;335
9001;1021028;80
9001;1021029;643
9001;1021033;190
9001;1021037;473
9001;1021039;14
9001;1021042;46
9001;1021045;150
9001;1021072;8
9001;1021104;2
9001;1021118;1
9001;1021122;5
9001;1021124;27
9001;1021163;6
9001;1021189;113
9001;1021190;397
9001;1021191;179
9001;1021192;409
9001;1021215;1
9001;1021298;1
9001;1021304;34
9001;1021306;45
9001;1021324;1248
9001;1021325;577
9001;1021326;1579
9001;1021328;1777
9001;1021348;331
9001;1021349;645
9001;1021350;4
9001;1021356;56
9001;1021362;524
9001;1021363;1231
9001;1021390;3
9001;1021406;129
9001;1021407;118
9001;1021409;72
9001;1021410;4
9001;1021426;803
9001;1021429;2
9001;1021430;991
9001;1021436;576
9001;1021458;295
9001;1021459;2
9001;1021460;22
9001;1021518;103
9001;1021521;52
9001;1021524;90
9001;1021527;3
9001;1021528;19
9001;1021529;4232
9001;1021581;73
9001;1021614;1
9001;1021625;356
9001;1021631;128
9001;1021664;16
9001;1021665;1
9001;1021670;66
9001;1021672;363
9001;1021777;20
9001;1021780;80
9001;1021781;270
9001;1021789;150
9001;1021798;1
9001;1021799;7
9001;1021800;419
9001;1021802;191
9001;1021803;181
9001;1021815;299
9001;1021821;1
9001;1021840;3
9001;1021859;161
9001;1021860;139
9001;1021866;145
9001;1021925;362
9001;1021959;80
9001;1021960;20
9001;1021962;17
9001;1021993;180
9001;1021997;8
9001;1022047;144
9001;1022060;1010
9001;1022066;21
9001;1022090;2
9001;1022105;1469
9001;1022116;8
9001;1022122;10
9001;1022123;11
9001;1022126;542
9001;1022130;1
9001;1022146;4
9001;1022163;96
9001;1022168;1
9001;1022170;597
9001;1022177;120
9001;1022190;7
9001;1022219;645
9001;1022220;438
9001;1022236;2
9001;1022239;1
9001;1022309;5
9001;1022538;85
9001;1022551;691
9001;1022552;1321
9001;1022553;282
9001;1022554;582
9001;1022564;6
9001;1022568;147
9001;1022591;614
9001;1022599;59
9001;1022613;272
9001;1022628;361
9001;1022632;72
9001;1022634;2
9001;1022649;301
9001;1022673;83
9001;1022719;127
9001;1022721;416
9001;1022725;286
9001;1022743;2
9001;1022754;1
9001;1022755;1
9001;1022785;2
9001;1022786;290
9001;1022908;144
9001;1022923;407
9001;1022938;110
9001;1022940;7
9001;1022959;185
9001;1022971;1
9001;1022972;3
9001;1022983;2
9001;1022984;2
9001;1022986;4
9001;1023047;72
9001;1023056;1
9001;1023096;458
9001;1023123;9
9001;1023210;2
9001;1023242;336
9001;1023243;1995
9001;1023251;165
9001;1023252;360
9001;1023254;48
9001;1023255;177
9001;1023259;4
9001;1023333;1100
9001;1023344;118
9001;1023378;24
9001;1023380;125
9001;1023388;1
9001;1023396;39
9001;1023397;1
9001;1023398;38
9001;1023429;600
9001;1023567;30
9001;1023570;36
9001;1023573;1
9001;1023574;270
9001;1023614;3
9001;1023615;7
9001;1023616;8
9001;1023617;2
9001;1023625;6
9001;1023629;202
9001;1023647;236
9001;1023656;221
9001;1023657;27
9001;1023659;27
9001;1023660;281
9001;1023661;49
9001;1023662;1232
9001;1023672;2629
9001;1023678;131
9001;1023706;1996
9001;1023709;57
9001;1023720;546
9001;1023721;399
9001;1023724;253
9001;1023725;12
9001;1023727;646
9001;1023732;703
9001;1023733;635
9001;1023739;3
9001;1023740;9
9001;1023776;100
9001;1023777;1907
9001;1023785;52
9001;1023790;279
9001;1023791;275
9001;1023816;355
9001;1023819;178
9001;1023820;2
9001;1023825;879
9001;1023849;502
9001;1023858;184
9001;1023860;62
9001;1023865;40
9001;1023883;3
9001;1023892;364
9001;1023893;476
9001;1023897;437
9001;1023984;2
9001;1024035;532
9001;1024039;508
9001;1024040;373
9001;1024041;302
9001;1024043;4956
9001;1024047;1936
9001;1024048;942
9001;1024050;738
9001;1024051;636
9001;1024053;109
9001;1024057;555
9001;1024058;428
9001;1024087;134
9001;1024088;148
9001;1024089;206
9001;1024090;304
9001;1024095;1249
9001;1024101;357
9001;1024106;3
9001;1024181;755
9001;1024182;471
9001;1024183;2334
9001;1024184;740
9001;1024185;726
9001;1024205;3540
9001;1024209;1291
9001;1024219;118
9001;1024222;600
9001;1024224;7
9001;1024226;1080
9001;1024227;288
9001;1024290;3
9001;1024319;323
9001;1024325;52
9001;1024326;48
9001;1024327;1
9001;1024340;180
9001;1024355;31
9001;1024356;1
9001;1024357;3
9001;1024362;78
9001;1024379;278
9001;1024382;1
9001;1024383;155
9001;1024386;153
9001;1024395;77
9001;1024436;1
9001;1024474;688
9001;1024480;1654
9001;1024483;344
9001;1024515;576
9001;1024563;980
9001;1024569;23
9001;1024570;33
9001;1024571;3
9001;1024572;26
9001;1024573;4
9001;1024574;6
9001;1024579;1697
9001;1024584;1365
9001;1024607;1267
9001;1024615;43
9001;1024636;25
9001;1024637;15
9001;1024654;652
9001;1024680;1971
9001;1024681;490
9001;1024685;6
9001;1024699;92
9001;1024710;12
9001;1024757;2739
9001;1024778;5
9001;1024800;1873
9001;1024805;76
9001;1024877;1
9001;1024886;6
9001;1024887;46
9001;1024907;97
9001;1024927;197
9001;1024928;196
9001;1024932;758
9001;1024962;800
9001;1024963;1844
9001;1024967;7
9001;1024968;854
9001;1024973;3
9001;1024976;40
9001;1024979;1847
9001;1024981;3
9001;1024982;1
9001;1024994;1
9001;1024996;193
9001;1024998;6
9001;1025008;342
9001;1025011;2
9001;1025014;3168
9001;1025016;182
9001;1025019;140
9001;1025028;789
9001;1025055;1
9001;1025057;4
9001;1025058;17
9001;1025059;1282
9001;1025060;1046
9001;1025061;30
9001;1025064;1
9001;1025089;29
9001;1025090;59
9001;1025091;80
9001;1025104;241
9001;1025120;176
9001;1025121;201
9001;1025150;1
9001;1025162;125
9001;1025168;388
9001;1025182;4
9001;1025192;192
9001;1025196;84
9001;1025199;126
9001;1025207;225
9001;1025208;239
9001;1025209;8
9001;1025259;3269
9001;1025262;1164
9001;1025276;68
9001;1025278;156
9001;1025316;703
9001;1025317;51
9001;1025324;22
9001;1025361;2168
9001;1025362;264
9001;1025363;771
9001;1025364;6
9001;1025367;35
9001;1025370;11
9001;1025392;55
9001;1025394;1
9001;1025395;71
9001;1025432;29
9001;1025435;163
9001;1025437;857
9001;1025441;1
9001;1025452;461
9001;1025456;1
9001;1025457;11
